annee_numero_de_tirage;1er_ou_2eme_tirage;jour_de_tirage;date_de_tirage;date_de_forclusion;boule_1;boule_2;boule_3;boule_4;boule_5;boule_6;boule_complementaire;combinaison_gagnante_en_ordre_croissant;numero_joker;nombre_de_gagnant_au_rang1;rapport_du_rang1;nombre_de_gagnant_au_rang2;rapport_du_rang2;nombre_de_gagnant_au_rang3;rapport_du_rang3;nombre_de_gagnant_au_rang4;rapport_du_rang4;nombre_de_gagnant_au_rang5;rapport_du_rang5;nombre_de_gagnant_au_rang6;rapport_du_rang6;nombre_de_gagnant_au_rang7;rapport_du_rang7;numero_jokerplus;devise;
2008080;2;SA;20081004;20081204;33;32;42;16;15;49;37;15-16-32-33-42-49;;2;904940;8;10953,9;213;1400,3;589;61,6;11911;30,8;20552;5,4;255211;2,7;7 523 262;eur;
2008080;1;SA;20081004;20081204;36;9;16;27;25;12;48;9-12-16-25-27-36;;3;282006;7;12513,4;461;662,5;1033;32;22997;16;25950;3,6;391755;1,8;7 523 262;eur;
2008079;2;ME;20081001;20081201;41;16;14;18;10;21;24;10-14-16-18-21-41;;2;793603;8;9604,1;231;1138,8;743;40,6;15920;20,3;21248;4,4;279631;2,2;4 114 098;eur;
2008079;1;ME;20081001;20081201;29;28;3;1;6;37;11;1-3-6-28-29-37;;0;0;7;10970,6;249;1059,2;1200;41;14790;20,5;32257;8,2;289766;4,1;4 114 098;eur;
2008078;2;SA;20080927;20081127;24;47;39;42;45;35;46;24-35-39-42-45-47;;2;900725;2;41972,1;358;844,8;608;47,4;15683;23,7;17963;5,2;268384;2,6;8 931 007;eur;
2008078;1;SA;20080927;20081127;28;7;24;35;32;23;33;7-23-24-28-32-35;;2;419649;7;12455;250;1193,2;601;47,2;15781;23,6;18635;4,4;321203;2,2;8 931 007;eur;
2008077;2;ME;20080924;20081124;2;33;34;28;8;23;47;2-8-23-28-33-34;;0;0;4;18611,6;181;1418,6;603;50,6;12494;25,3;18618;4,8;252898;2,4;1 208 390;eur;
2008077;1;ME;20080924;20081124;9;19;32;21;20;17;40;9-17-19-20-21-32;;0;0;8;9438,5;258;1006,5;705;38,2;16764;19,1;19627;8,4;305452;4,2;1 208 390;eur;
2008076;2;SA;20080920;20081120;24;40;13;9;47;25;14;9-13-24-25-40-47;;0;0;8;13107,6;394;919,8;886;36,4;24622;18,2;26589;4;426020;2;4 608 228;eur;
2008076;1;SA;20080920;20081120;31;26;47;10;12;48;39;10-12-26-31-47-48;;0;0;8;13107,6;426;853,5;982;38,6;22962;19,3;24600;8,8;403563;4,4;4 608 228;eur;
